Latitude (decimal degrees):	52.141
Longitude (decimal degrees):	-10.269
Elevation (m):	8
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0011,0.0,0.0,0.0,6.78,2.34,0.0
20200101:0111,0.0,0.0,0.0,7.04,2.41,0.0
20200101:0211,0.0,0.0,0.0,6.74,2.76,0.0
20200101:0311,0.0,0.0,0.0,6.74,2.9,0.0
20200101:0411,0.0,0.0,0.0,6.86,3.17,0.0
20200101:0511,0.0,0.0,0.0,6.83,3.45,0.0
20200101:0611,0.0,0.0,0.0,7.24,4.07,0.0
20200101:0711,0.0,0.0,0.0,7.59,4.21,0.0
20200101:0811,0.0,0.0,0.0,7.86,4.41,0.0
20200101:0911,0.0,0.87,1.63,8.18,5.03,0.0
20200101:1011,68.0,94.45,7.72,9.05,4.9,0.0
20200101:1111,203.77,245.24,12.12,9.46,5.52,0.0
20200101:1211,159.2,196.49,14.49,9.82,6.0,0.0
20200101:1311,126.15,160.38,14.63,10.44,7.17,0.0
20200101:1411,128.39,162.56,12.5,10.47,7.79,0.0
20200101:1511,230.47,275.56,8.32,10.21,7.79,0.0
20200101:1611,0.0,5.56,2.41,9.89,7.86,0.0
20200101:1711,0.0,0.0,0.0,9.5,8.21,0.0
20200101:1811,0.0,0.0,0.0,9.58,8.21,0.0
20200101:1911,0.0,0.0,0.0,9.53,8.41,0.0
20200101:2011,0.0,0.0,0.0,9.44,8.48,0.0
20200101:2111,0.0,0.0,0.0,9.22,8.83,0.0
20200101:2211,0.0,0.0,0.0,8.95,8.55,0.0
20200101:2311,0.0,0.0,0.0,9.04,9.66,0.0
20200102:0011,0.0,0.0,0.0,9.3,9.93,0.0
20200102:0111,0.0,0.0,0.0,9.58,9.86,0.0
20200102:0211,0.0,0.0,0.0,9.84,9.86,0.0
20200102:0311,0.0,0.0,0.0,9.98,10.0,0.0
20200102:0411,0.0,0.0,0.0,10.3,10.28,0.0
20200102:0511,0.0,0.0,0.0,10.58,10.34,0.0
20200102:0611,0.0,0.0,0.0,10.83,10.34,0.0
20200102:0711,0.0,0.0,0.0,11.09,10.34,0.0
20200102:0811,0.0,0.0,0.0,11.29,10.48,0.0
20200102:0911,0.0,0.87,1.65,11.55,10.34,0.0
20200102:1011,68.08,95.23,7.76,11.5,10.69,0.0
20200102:1111,141.98,178.0,12.18,11.67,11.24,0.0
20200102:1211,168.32,207.15,14.57,11.75,11.45,0.0
20200102:1311,90.28,120.77,14.72,11.61,11.52,0.0
20200102:1411,143.12,179.0,12.61,11.29,11.1,0.0
20200102:1511,48.86,72.6,8.44,10.74,10.48,0.0
20200102:1611,0.0,5.56,2.53,10.57,9.52,0.0
20200102:1711,0.0,0.0,0.0,10.47,8.62,0.0
20200102:1811,0.0,0.0,0.0,10.51,7.66,0.0
20200102:1911,0.0,0.0,0.0,10.52,5.93,0.0
20200102:2011,0.0,0.0,0.0,9.68,6.62,0.0
20200102:2111,0.0,0.0,0.0,8.74,9.79,0.0
20200102:2211,0.0,0.0,0.0,8.26,8.9,0.0
20200102:2311,0.0,0.0,0.0,7.83,8.21,0.0
20200103:0011,0.0,0.0,0.0,7.39,8.14,0.0
20200103:0111,0.0,0.0,0.0,7.2,8.07,0.0
20200103:0211,0.0,0.0,0.0,7.26,7.66,0.0
20200103:0311,0.0,0.0,0.0,7.41,7.52,0.0
20200103:0411,0.0,0.0,0.0,7.28,7.24,0.0
20200103:0511,0.0,0.0,0.0,7.32,6.83,0.0
20200103:0611,0.0,0.0,0.0,7.52,6.76,0.0
20200103:0711,0.0,0.0,0.0,7.54,6.21,0.0
20200103:0811,0.0,0.0,0.0,7.74,5.1,0.0
20200103:0911,0.0,0.87,1.69,7.55,4.41,0.0
20200103:1011,289.74,341.03,7.8,7.85,4.62,0.0
20200103:1111,420.91,488.62,12.24,8.42,4.55,0.0
20200103:1211,419.25,488.08,14.65,9.1,4.41,0.0
20200103:1311,257.49,304.99,14.82,9.54,5.1,0.0
20200103:1411,263.58,311.37,12.73,9.59,5.72,0.0
20200103:1511,126.69,160.46,8.56,9.3,5.17,0.0
20200103:1611,0.71,7.42,2.66,9.01,5.17,0.0
20200103:1711,0.0,0.0,0.0,8.4,4.76,0.0
20200103:1811,0.0,0.0,0.0,8.41,4.76,0.0
20200103:1911,0.0,0.0,0.0,8.46,4.9,0.0
20200103:2011,0.0,0.0,0.0,8.51,4.69,0.0
20200103:2111,0.0,0.0,0.0,8.62,5.1,0.0
20200103:2211,0.0,0.0,0.0,8.41,6.0,0.0
20200103:2311,0.0,0.0,0.0,8.56,6.0,0.0
20200104:0011,0.0,0.0,0.0,8.65,5.79,0.0
20200104:0111,0.0,0.0,0.0,8.46,6.34,0.0
20200104:0211,0.0,0.0,0.0,8.31,6.34,0.0
20200104:0311,0.0,0.0,0.0,7.82,6.34,0.0
20200104:0411,0.0,0.0,0.0,7.88,6.55,0.0
20200104:0511,0.0,0.0,0.0,8.19,6.48,0.0
20200104:0611,0.0,0.0,0.0,8.29,6.34,0.0
20200104:0711,0.0,0.0,0.0,8.5,6.0,0.0
20200104:0811,0.0,0.0,0.0,8.67,5.52,0.0
20200104:0911,0.0,0.87,1.72,8.65,5.52,0.0
20200104:1011,37.43,58.73,7.86,9.33,5.66,0.0
20200104:1111,123.39,156.73,12.31,9.67,6.21,0.0
